Frame,Processing Time (s),Total Time (s),Peak Range (m),Peak Velocity (m/s),Peak Magnitude
0,2.3743269443511963,2.466240167617798,36.17115027829314,0.05941770647653044,7.495821848297646
1,2.5948398113250732,5.133127927780151,36.17115027829314,0.05941770647653044,7.492654597316148
2,2.369509696960449,7.560406684875488,36.17115027829314,0.05941770647653044,7.498079690503189
3,2.2962703704833984,9.955799579620361,36.17115027829314,0.05941770647653044,7.5023853265226785
4,2.4682400226593018,12.48984408378601,36.17115027829314,0.05941770647653044,7.499032841808139
5,2.337299346923828,14.946435928344727,36.17115027829314,0.05941770647653044,7.495724574805476
6,2.2918922901153564,17.301918745040894,36.17115027829314,0.05941770647653044,7.482490580594016
7,2.083890676498413,19.458553314208984,36.17115027829314,0.05941770647653044,7.5133749487877655
8,2.388392686843872,21.950830221176147,36.17115027829314,0.05941770647653044,7.5060825569004805
9,2.377628803253174,24.407921075820923,36.17115027829314,0.05941770647653044,7.490586293306471
