Frame,Processing Time (s),Total Time (s),Peak Range (m),Peak Velocity (m/s),Peak Magnitude
0,3.2841174602508545,3.396009922027588,36.17115027829314,0.05941770647653044,7.495821848297646
1,2.9792540073394775,6.489400863647461,36.17115027829314,0.05941770647653044,7.492654597316148
2,3.206390619277954,9.775726795196533,36.17115027829314,0.05941770647653044,7.498079690503189
3,2.3577189445495605,12.221737623214722,36.17115027829314,0.05941770647653044,7.5023853265226785
4,3.0545153617858887,15.331093549728394,36.17115027829314,0.05941770647653044,7.499032841808139
5,3.051553964614868,18.457650661468506,36.17115027829314,0.05941770647653044,7.495724574805476
6,2.937044858932495,21.489761114120483,36.17115027829314,0.05941770647653044,7.482490580594016
7,3.0004489421844482,24.567381858825684,36.17115027829314,0.05941770647653044,7.5133749487877655
8,3.0683376789093018,27.684296131134033,36.17115027829314,0.05941770647653044,7.5060825569004805
9,3.1872458457946777,30.960646152496338,36.17115027829314,0.05941770647653044,7.490586293306471
