Frame,Processing Time (s),Total Time (s),Peak Range (m),Peak Velocity (m/s),Peak Magnitude
0,0.036896705627441406,0.09995865821838379,36.17115027829314,0.05941770647653044,7.495821848297646
1,0.021651029586791992,0.16669487953186035,36.17115027829314,0.05941770647653044,7.492654597316148
2,0.01953125,0.23650527000427246,36.17115027829314,0.05941770647653044,7.498079690503189
3,0.016605377197265625,0.3086686134338379,36.17115027829314,0.05941770647653044,7.5023853265226785
4,0.018129825592041016,0.3888077735900879,36.17115027829314,0.05941770647653044,7.499032841808139
5,0.025562763214111328,0.4878237247467041,36.17115027829314,0.05941770647653044,7.495724574805476
6,0.017026662826538086,0.5811834335327148,36.17115027829314,0.05941770647653044,7.482490580594016
7,0.017632007598876953,0.6558902263641357,36.17115027829314,0.05941770647653044,7.5133749487877655
8,0.02420806884765625,0.7365250587463379,36.17115027829314,0.05941770647653044,7.5060825569004805
9,0.015248775482177734,0.8028519153594971,36.17115027829314,0.05941770647653044,7.490586293306471
