Frame,Processing Time (s),Total Time (s),Peak Range (m),Peak Velocity (m/s),Peak Magnitude
0,2.362872362136841,2.4664576053619385,17.13589981447123,1.3666072489601895,5.234586417257685
1,2.496858596801758,5.024489164352417,17.13589981447123,1.3666072489601895,5.162967287893132
2,2.364565372467041,7.498242616653442,17.13589981447123,-1.2477718360071304,5.073172903885708
3,1.764296054840088,9.376394033432007,17.13589981447123,1.3666072489601895,5.165023554980893
4,2.4809954166412354,11.97558879852295,17.13589981447123,1.1289364230540713,4.926891671842794
5,2.467958450317383,14.567992210388184,,,
6,2.4216485023498535,17.093029499053955,17.13589981447123,1.2477718360071322,5.019537908440038
7,2.5656752586364746,19.767035007476807,17.13589981447123,-1.2477718360071304,5.194633472822774
8,2.408813953399658,22.298564672470093,17.13589981447123,-1.1289364230540695,4.7926330303904425
9,2.6582894325256348,25.05710458755493,16.801948051948045,-1.0101010101010104,4.870245430939906
