Frame,Processing Time (s),Total Time (s),Peak Range (m),Peak Velocity (m/s),Peak Magnitude
0,0.05193281173706055,0.10178303718566895,17.13589981447123,1.3666072489601895,5.74630772546833
1,0.03823351860046387,0.21274900436401367,17.13589981447123,1.3666072489601895,5.73305243612624
2,0.04051327705383301,0.30286693572998047,17.13589981447123,1.3666072489601895,5.7211704459802615
3,0.0337984561920166,0.38132262229919434,17.13589981447123,1.3666072489601895,5.7402458566528995
4,0.03793001174926758,0.5192673206329346,1.4401669758812545,1.1289364230540713,6.892783042848517
5,0.04590106010437012,0.6634185314178467,17.13589981447123,-1.0101010101010104,5.622969500996738
6,0.04110002517700195,0.7898883819580078,17.13589981447123,1.2477718360071322,5.636651102031925
7,0.040900468826293945,0.8965187072753906,1.1062152133580696,0.6535947712418313,6.771725127690563
8,0.03810882568359375,0.9972484111785889,17.13589981447123,1.2477718360071322,5.526407566614872
9,0.03680014610290527,1.0913472175598145,17.13589981447123,1.1289364230540713,5.563955549054242
