Frame,Processing Time (s),Total Time (s),Peak Range (m),Peak Velocity (m/s),Peak Magnitude
0,3.385230302810669,3.45479679107666,17.13589981447123,1.3666072489601895,5.234586417257685
1,3.4862918853759766,7.006164789199829,17.13589981447123,1.3666072489601895,5.162967287893132
2,2.588827133178711,9.713684320449829,16.801948051948045,1.3666072489601895,5.132796752720914
3,3.1138570308685303,12.9085853099823,17.13589981447123,1.3666072489601895,5.165023554980893
4,3.037001132965088,16.01485848426819,17.13589981447123,1.1289364230540713,4.926891671842794
5,2.9407832622528076,19.00527024269104,,,
6,2.8550705909729004,21.908010005950928,17.13589981447123,1.2477718360071322,5.019537908440038
7,3.1699087619781494,25.13418936729431,17.13589981447123,-1.2477718360071304,5.194633472822774
8,3.1345317363739014,28.360276699066162,17.13589981447123,1.2477718360071322,4.915864385411654
9,3.1098737716674805,31.574413299560547,17.13589981447123,1.1289364230540713,4.899618400258734
