Frame,Processing Time (s),Total Time (s),Peak Range (m),Peak Velocity (m/s),Peak Magnitude
0,2.5248823165893555,2.6160385608673096,17.13589981447123,-1.2477718360071304,5.211043224771157
1,2.522956609725952,5.223200082778931,17.13589981447123,1.3666072489601895,5.162967287893132
2,2.4138522148132324,7.752728462219238,17.13589981447123,-1.2477718360071304,5.073172903885708
3,2.512667655944824,10.377642631530762,17.13589981447123,1.3666072489601895,5.165023554980893
4,2.5732829570770264,13.045579195022583,17.13589981447123,1.1289364230540713,4.926891671842794
5,1.9003643989562988,15.047466516494751,,,
6,2.505251884460449,17.596874237060547,1.4401669758812545,-1.3666072489601895,5.027983134070122
7,1.9341723918914795,19.577235221862793,17.13589981447123,-1.2477718360071304,5.194633472822774
8,1.7545406818389893,21.37637209892273,17.13589981447123,1.2477718360071322,4.915864385411654
9,1.7917070388793945,23.214927434921265,17.13589981447123,1.1289364230540713,4.899618400258734
